LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,T2MDEW,T2M,KT_CLEAR,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
50.07731,20.76851,2015,03,07,    0.02,  0.003503,   -1.27,    2.01,              0.47,              0.47,-999,              2.59,              6.17
50.07731,20.76851,2015,03,08,    0.00,  0.003590,   -0.92,    4.42,              0.61,              0.61,              3.35,              3.34,              6.36
50.07731,20.76851,2015,03,09,    0.00,  0.003523,   -1.18,    3.91,              0.60,              0.60,              3.50,              3.50,              6.02
50.07731,20.76851,2015,03,10,    0.00,  0.003511,   -1.24,    5.17,              0.61,              0.61,              3.57,              3.52,              5.94
50.07731,20.76851,2015,03,11,    0.93,  0.004229,    1.19,    3.17,              0.36,              0.36,-999,              2.10,              6.81
50.07731,20.76851,2015,03,12,    3.94,  0.004207,    1.21,    3.07,              0.31,              0.31,-999,              1.82,              7.29
50.07731,20.76851,2015,03,13,    5.91,  0.004035,    0.66,    1.43,              0.18,              0.18,-999,              1.09,              7.19
50.07731,20.76851,2015,03,14,    3.31,  0.004023,    0.64,    1.38,              0.24,              0.24,-999,              1.45,              7.01
50.07731,20.76851,2015,03,15,    0.14,  0.004352,    1.76,    3.88,              0.47,              0.47,-999,              2.97,              6.86
50.07731,20.76851,2015,03,16,    0.04,  0.004300,    1.71,    4.62,              0.62,              0.62,              3.90,              3.87,              6.26
50.07731,20.76851,2015,03,17,    0.01,  0.003508,   -1.10,    3.71,              0.63,              0.63,              4.06,              4.06,              5.63
50.07731,20.76851,2015,03,18,    0.00,  0.002865,   -3.80,    1.50,              0.62,              0.62,              4.15,              4.15,              5.39
50.07731,20.76851,2015,03,19,    0.00,  0.003302,   -2.00,    1.43,              0.48,              0.48,              4.14,              3.12,              6.10
50.07731,20.76851,2015,03,20,    0.00,  0.003433,   -1.54,    3.70,              0.65,              0.65,              4.23,              4.23,              5.74
50.07731,20.76851,2015,03,21,    0.00,  0.004073,    0.60,    5.69,              0.63,              0.63,              4.29,              4.28,              6.24
50.07731,20.76851,2015,03,22,    0.46,  0.003414,   -1.80,    1.35,              0.25,              0.25,-999,              1.70,              6.74
50.07731,20.76851,2015,03,23,    0.00,  0.002596,   -5.24,    0.83,              0.66,              0.66,              4.49,              4.48,              5.46
50.07731,20.76851,2015,03,24,    0.00,  0.004531,    1.94,    6.44,              0.64,              0.64,              4.46,              4.45,              6.35
50.07731,20.76851,2015,03,25,    0.01,  0.006019,    6.05,    9.16,              0.63,              0.63,              4.43,              4.41,              7.03
50.07731,20.76851,2015,03,26,    0.59,  0.006916,    8.10,   11.40,              0.47,              0.47,              4.40,              3.34,              7.63
50.07731,20.76851,2015,03,27,    4.88,  0.006515,    7.16,    8.96,              0.47,              0.47,-999,              3.40,              7.89
50.07731,20.76851,2015,03,28,    3.91,  0.004773,    2.91,    5.07,              0.23,              0.23,-999,              1.71,              7.79
50.07731,20.76851,2015,03,29,    0.44,  0.004916,    3.04,    6.35,              0.57,              0.57,-999,              4.24,              7.25
50.07731,20.76851,2015,03,30,    6.50,  0.005188,    3.72,    7.04,              0.44,              0.44,-999,              3.23,              7.47
50.07731,20.76851,2015,03,31,    7.63,  0.004653,    2.03,    4.53,              0.17,              0.17,-999,              1.28,              7.21
50.07731,20.76851,2015,04,01,    3.48,  0.003941,    0.05,    3.07,              0.23,              0.23,-999,              1.73,              6.79
50.07731,20.76851,2015,04,02,    5.37,  0.003720,   -0.73,    1.36,              0.23,              0.23,-999,              1.76,              6.69
50.07731,20.76851,2015,04,03,    3.01,  0.003597,   -1.06,    1.17,              0.28,              0.28,-999,              2.17,              6.89
50.07731,20.76851,2015,04,04,    0.61,  0.003389,   -1.83,    1.39,              0.43,              0.43,-999,              3.41,              6.44
50.07731,20.76851,2015,04,05,    0.38,  0.003349,   -1.94,    0.94,              0.27,              0.27,-999,              2.18,              6.80
50.07731,20.76851,2015,04,06,    2.41,  0.003576,   -0.99,    1.02,              0.26,              0.26,-999,              2.05,              6.78
50.07731,20.76851,2015,04,07,    0.37,  0.003811,   -0.09,    3.54,              0.52,              0.52,-999,              4.24,              6.79
50.07731,20.76851,2015,04,08,    1.34,  0.004747,    2.95,    6.52,              0.23,              0.23,-999,              1.91,              7.72
50.07731,20.76851,2015,04,09,    0.02,  0.003607,   -0.94,    6.08,              0.65,              0.65,              5.42,              5.35,              5.98
